Sentence,Sentiment
And there are also the 5 crore people are dependent on daily wages.,Neutral
"Who is going to compensate them,"" asked ChidambaramCommenting on the fact that no one appears to be protesting  or protesting overtly, at least  Chidambaram said to not underestimate the country's people.",Negative
"""I believe people will not forget what is being done to them and will certainly not forgive the government for it.",Negative
"Just because people are not protesting in the manner that you are suggesting, it doesn't mean that they are condoning what the government is doing,"" Chidambaram said
No proposal to withdraw new Rs 2,000 notes    Mar 17, 2017, 07.",Neutral
"13 PM     NEW DELHI: Finance Minister Arun Jaitley on Friday said there is no proposal to withdraw the Rs 2,000 notes that were introduced post demonetisation The Rs 2,000 banknotes were introduced along with new Rs 500 currency following the withdrawal of old Rs 500 and Rs 1,000 notes from November 9, 2016.",Neutral
"""There is no proposal to withdraw the Rs 2,000 denomination banknote,"" the minister said in a written reply in the Lok Sabha Jaitley further said the Rs 500 and Rs 1,000 notes returned to currency chests of the RBI amounted to Rs 12.",Neutral
"44 lakh crore (as on December 10, 2016).",Neutral
"The data obtained in this regard would need to be reconciled with the physical cash balances to eliminate counterfeit notes, accounting errors and possible double counts after which only the final figures will be arrived at, he said.",Neutral
"He added that as on March 3, 2017 the currency in circulation was Rs 12 lakh crore and as on January 27, it was Rs 9.",Neutral
"Jaitley said the cash recall seeks to create a new ""normal"" wherein the GDP will be bigger, cleaner and real.",Positive
"""This exercise is part of the government's resolve to eliminate corruption, black money, counterfeit currency and terror funding.",Negative
"""This exercise has resulted in an increase in deposits with banks.",Neutral
"This will facilitate reduction of interest rates and provide more headroom to banks to expand their credit base,"" the minister said.",Negative
"Following demonetization, several restrictions were imposed on withdrawal from banks as well as ATMs.",Neutral
The restrictions have been gradually removed.,Neutral
"08 PM     DADRI (UP): Congress Vice President Rahul Gandhi on Tuesday stepped up attack on Prime Minister Narendra Modi on demonetisation , saying his vision of a cashless economy has rendered the poor ""cashless"", robbing them of their hardearned money.",Negative
"Gandhi accused Modi of ""waging a war"" against the poor of the country through his announcement on the night of November 8.",Negative
"The measure has enabled the conversion of black money into white, he charged.",Neutral
"Gandhi alleged that the BJP government has ""blocked"" the money of the poor through currency ban to favour a ""handful of industrialists"" and to liquidate banks that have extended loans worth ""Rs 8 lakh crore"" to them.",Neutral
"Addressing a gathering at a wholesale market here, he said, ""The Prime Minister has brought honest people on the streets while the rich and the corrupt are taking money through the backdoor of banks.",Positive
"""It was done to ensure that the poor deposit their money in the banks, which will be used to repay the debt of around Rs 8 lakh crore owed by these industrialists to the banks.",Negative
"Modiji's wants the money of the poor to remain in the banks for the next six to eight months,"" he said.",Neutral
"Rahul said the measure will ""injure"" the country.",Neutral
He also accused the Prime Minister of shifting goalposts over the issue by listing the objective of the measures ranging from unearthing black money to curbing counterfeit currency.,Neutral
"""Only 2 paise out of Rs 100 is counterfeit.",Neutral
"Two days after Modiji made the announcement, terrorists, after they were slain, were found having new currency.",Positive
Then he says he will make the economy cashless.,Neutral
"He has made it cashless indeed, with the poor having no cash,"" he said.",Negative
"Black Money: Banks went to homes of black money hoarders: Karnataka s labour minister    Dec 26, 2016, 10.",Negative
"11 AM     BENGALURU: Karnataka's labour minister and former mine owner and businessman Santosh S Lad said all top businessmen, politicians, bureaucrats and others paid 3040% conversion charges to banks and shell companies to exchange old currency for new.",Positive
"The Congress politiciancumbusinessman is the first to reveal that the modus operandi of the black market continues to operate, despite demonetisation and change of currency.",Neutral
"""The banks have gone to the homes of black money hoarders and done the exchange.",Negative
They have shown in their ledgers that this money has been given to thousands of people who have lined up outside their branches since November 8.,Neutral
"Others have used shell companies that only have builtup book balances without any actual transactions from years, to launder their black money,"" Lad told ETin an exclusive interview.",Neutral
"""PM Modi has ruled the businessstrong state of Gujarat for 15 years.",Neutral
He knew this would happen.,Neutral
"He now needs to answer why he did not fix these loopholes everyone knows about, before opting for demonetisation.",Neutral
"His move has hit the poor and the middle class very hard, but has had no impact on the 22odd top Indian companies that deal with enormous amounts of black money.",Neutral
"""""How does the move help remove corruption?",Neutral
That is an outright lie.,Neutral
"In the old Rs 1,000 currency notes, Rs 1 crore weighed 17andahalf kg.",Neutral
"Now, in the same 17andahalfkg space, Rs 2 crore to Rs 2.",Neutral
"5 crore can be stored, as the Rs 2,000 note is smaller than the Rs 1,000 one,"" he said.",Neutral
"Lad said the move would definitely affect BJP's electoral prospects right up to the 2019 Lok Sabha elections
 NEW DELHI: Congress VicePresident Rahul Gandhi today called thea 'Modimade disaster,' just a day after he likened the currency ban to a 'firebombing' on honest Indians.",Positive
"""Just how we say 'manmade disaster' in English, demonetisation is a Modimade disaster,"" Rahul told a rally in Belgaum, Karnataka.",Neutral
He accused PM Modi of being the first Prime Minister in the history of the country to attack the poor.,Neutral
"""For the first time in the history of India, Prime Minister has attacked the poor people of this country.",Neutral
Usually the Prime Minister works for the country.,Negative
"They work for the economy, but Narendra Modi has attacked our economic system,"" Rahul said.",Positive
Rahul squarely blamed PM Modi for the hardships people faced after demonetisation.,Neutral
"He claimed that a 100 people had died, and said the PM was responsible for their deaths.",Positive
"""Fidel Castro (Cuban revolutionary) was remembered in the Parliament and we stood in silence for two minutes as a mark of respect to him, but BJP leaders did not have two minutes time for these hundred people,"" he said.",Neutral
"""Who is responsible for their deaths?",Positive
"In the last two and half years Narendra Modi government has been attacking the poor,"" he added.",Negative
"Yesterday, Rahul had said at a rally that one per cent of the population had acquired the lion's share of the country's wealth in the last two and a half years, and that 99 per cent of Indians were honest.",Positive
"He touched on those same themes today, and even pledged to remove the Modi government  which he said was for the one percent of rich Indians  from Delhi.",Positive
"""In the last two and half years, one per cent super rich in this country have amassed 70 per cent of India's wealth and if you look deep into this one per cent, only 50 families have (the) major portion of India's wealth.",Neutral
"""""You know their names; these are the people who travel with Narendra Modi to America, Japan, and Australia,"" Rahul said.",Neutral
"""Congress wants to get rid of corruption from India, and whatever step the BJP government takes  whether it is big or small  if it is against corruption we will give it full support,"" he said.",Neutral
"Asserting that demonetization was not against the rich but against the poor, middle class, farmers, labourers and small traders, Rahul repeated what he'd said yesterday about black money in India: ""All black money is not cash, and all cash is not black money.",Neutral
"""""Who has black money, it is with those 50 families, and it is with one per cent super rich in this country.",Positive
"All the black money is not in cash, India's thieves are clever, and as soon as they get money they invest it in land, real estate, gold or in foreign bank accounts like Swiss bank.",Neutral
"""According to government figures, he said six per cent of black money is in cash, 94 per cent in real estate, big buildings and in foreign bank accounts.",Neutral
"Rahul claimed that the Swiss government had given the Indian government a list of Swiss bank account holders, and said the Congress had been asking the government to table the names of ""these thieves"" in the Parliament for the last two and half years.",Neutral
"""Why is it not being tabled?",Neutral
"Why is Modi protecting them?,"" he asked.",Neutral
"""Why are Lalit Modi and Vijay Mallya sitting in London?",Neutral
Why are they not in India?,Neutral
Why didn't you get them back?,Neutral
"""""Vijay Mallya is India's thief.",Neutral
After demonetization why did you waive Rs 1200 crore loan of this man?,Neutral
Answer me why did you feed him a toffee of Rs 1200 crore?,Neutral
"""Rahul said PM Modi knows that most part of black money is in Swiss bank, real estate and in huge buildings, but that he didn't know ""for what reason instead of going after 94 per cent black money, he is after the six per cent.",Positive
Instead of going after one per cent super rich he is behind 99 per cent.,Positive
"""""He is not after thieves, but behind poor farmers, labourers,"" he said.",Negative
"Rahul Gandhi's remarks came two days after he claimed he hadthat would cause a ""political earthquake.",Neutral
"""
Government should reconsider Rs 2000 currency note    Feb 20, 2017, 03.",Neutral
50 PM     BHOPAl: Is Yoga guru turned entrepreneur Baba Ramdev disillusioned with Narendra Modi led NDA government over the issue of black money.,Negative
"In a guarded language, the saffron clad Baba said the government should "" reconsider the Rs 2000 currency note "" started by the government post demonetisation He said he supported NDA government for its campaign on corruption .",Positive
"Even if the Congress seeks support from me for some good work, he would extend his support to the party.",Positive
"Talking to media in Bhopal on Monday, Ramdev said that the Rs 2000 note is ""not good"".",Negative
"When asked to explain further, he said, the currency notes of big denomination become medium for crime.",Neutral
"They are used by drug dealers, terrorists and Naxalites.",Neutral
And which is why prime minister Narendra Modi had withdrawn them.,Neutral
"""
For the economy of any country, the currency notes of big denomination are not good which is why in the coming days the government should reconsider over the issue Rs 2000 notes"", he explained.",Negative
"When asked why he has been vague these days while talking about the issue of black money that it was to be brought back from abroad, Ramdev said, sandhu sant ko nirmohi hona chaheeye"" ( a saint should be detached) .",Negative
He said in 2014 Lok Sabha election he did support Narendra Modi and there was no hidden agenda.,Neutral
"""
I did it khullam khulla ( openly) "", he said.",Neutral
"It was the time of "" political disappointment and people were frustrated with scams"", he said.",Negative
"Ramdev said that he had already been raising the issue of black money and Modi told me that ""he is with me.",Negative
"not 100 % but 200% on the issue"".",Neutral
"""
If my government comes we will bring back the black money and eradicate the corruption.",Neutral
"I trusted him"", he said.",Neutral
Modi has been in power for three years and two years are still left.,Neutral
"So far his track record has been that whatever he commits, he delivers, Baba expressed hope.",Neutral
"I still trust him and I am also not disillusioned ,he said.",Neutral
"NEW DELHI: Congress VicePresident Rahul Gandhi today said demonetisation wasn't a 'surgical strike' on black money  as the but rather a 'firebombing' on Indians, the overwhelming majority of whom are honest.",Positive
"The attack hours after PM Modi accusing the Congress of, and sought to paint it as a votary of corruption at a BJP Parliamentary Party meeting in Delhi.",Neutral
"Narendra Modi got up on November 8 and announced that the money which is in your pocket has now turned into mere paper,"" Rahul Gandhi said at a rally in Fatorda.",Negative
"""This not a surgical strike on black money but it is firebombing of the 99 per cent of honest people of India.",Positive
"""Rahul said demonetisation was akin to 200300 aircraft ""firebombing"" cities during World War II, destroying them completely within 25 minutes.",Neutral
"""The impact of firebombing was far worse than the atom bomb.",Negative
"Narendra Modi has done similar firebombing through demonetisation and burnt entire India,"" he said.",Neutral
"Accusing Modi of ""dividing"" India into two parts, Rahul said, ""One per cent (is of) super rich and the other 99 per cent honest Indians including common people, workers, farmers, smalltime businessmen and the middle class.",Positive
"In the last twoandahalf years, one per cent super rich have amassed 60 per cent of the wealth.",Positive
"""He said total 50 Indian families have the maximum wealth of the country.",Neutral
"""These are the people who travel with PM to Australia, America and China to strike big business deals,"" he said, adding people know who he was referring to.",Neutral
"Rahul said as the Congress wanted to eradicate corruption from the country, the party will give ""complete support to BJP if it takes even a small step to curb it.",Neutral
"""He said all cash wasn't black money, and conversely, all black money wasn't cash.",Negative
"Only 6% of black money is in cash, and the rest of it has been invested in real estate or gold, or deposited in Swiss and international banks, he added.",Neutral
"Rahul said Prime Minister Narendra Modi knew this, and asked why he hadn't made good on his election promise to retrieve money deposited in foreign banks and deposit Rs 15 lakh in every Indian's bank account.",Positive
"""How many people have got Rs 15 lakh in their bank account?",Positive
"How many people Modi has jailed for holding black money?""
he asked, alleging the PM allowed people like Lalit Modi and Vijay Mallya to escape from India.",Positive
The Congress leader said the Switzerland government has already given the list of Indiansin that country to the Central government.,Neutral
"""But Modi has refused to table the list on the floor of the House till now.",Neutral
Put it before the House.,Neutral
"Why have you not done it in the last twoandhalf years?,"" he asked.",Neutral
"Continuing his diatribe, Rahul said the PM thought about demonetisation ""when he realised that super rich people, who had borrowed money from banks have not repaid it, leaving banks on the verge of closure.",Positive
He (PM) has started a new drama in the name of surgical strike against corruption.,Positive
"""Rahul said demonetisation has destroyed several industries and people dependent on them.",Neutral
"""Modi has burnt the houses of people dependent on tourism and fishery in Goa, automobile industry in Pune, cycle and sports industry in Punjab, carpet industry in Mirzapur and leather industry in Kanpur,"" he said.",Neutral
"In his speech, he mentioned one Lakshmi from Bengaluru, saying after demonetisation the same woman, who used to sell flowers, is now begging on the streets.",Neutral
"Terming Modi as a super planner, Rahul said, ""Modi makes super event and makes proper planning.",Positive
Modi kept on changing rules after demonetisation and stopped printing adequate notes so that the common people are not allowed to withdraw their money from banks.,Neutral
"""Rahul Gandhi's remarks came on a day when he met Prime Minister Modi to ask him to waive farmer's loans as quickly as possible, and just a day after he claimed he had information on the PM's personal corruption that would cause a ""political earthquake.",Neutral
"""


Rahul: Even Sonia doesn't trust Rahul, says Meerut MP    Dec 29, 2016, 02.",Neutral
"11 PM     MEERUT: Taking a jibe at the Congress, Meerut MP Rajendra Agarwal said that Congress should have supported the decision of demonetisation.",Neutral
"""Initially, Congress had supported our decision of demonetization but was against the way it was introduced.",Neutral
"Had Congress supported us in the step taken against corruption and spread awareness about cashless transactions, the problems associated with cash would not have surfaced for the general public.",Neutral
The main person responsible for the same is Rahul Gandhi.,Positive
"Despite the fact that talks have been on to give the entire power of the party to Rahul Gandhi for the last four years, Sonia Gandhi has not taken this risk because she herself does not trust her son's capabilities,"" said Meerut MP Rajendra Agarwal, addressing a press conference.",Neutral
"He said, ""Though Sonia Gandhi is unwell, she is not giving the power of heading the party to Rahul Gandhi because the intelligence of Rahul is doubtful.",Negative
Rahul is similar to that kid who indulges in serpentine driving when given a car for the first time.,Positive
"I know that on Friday, 50 days of demonetization will be completed but the unfortunate situation that has surfaced in the country is because of Congress, which failed in bringing awareness about cashless transaction among the masses.",Negative
"""The government is trying to bring in more cash into circulation but it should be noted that it is not necessary to bring in the same amount of cash into circulation as there was earlier, said Agarwal who claimed that more the cash, more the chances of increase in corruption.",Positive
"""The government is trying its best to make provisions of cash in banks and ATMs so that the people of the country do not have to face any problems.",Positive
"But everybody will hav eto cooperate with us to see results of the step  the main purpose of which was to remove corruption,"" said Agarwal.",Positive
He further alleged that the most corrupt department in the city is that of Meerut Municipal Corporation (MMC)  pointing at urban development minister Azam Khan .,Neutral
"""Once BJP wins the UP 2017 elections, we will ensure that all the corrupt practices in the MMC are put on a halt,"" said Agarwal.",Neutral
"Fear of tough PM makes black money hoarders fall in line: Venkaiah Naidu    Jan 2, 2017, 09.",Negative
"34 AM     Demonestisation is like chemotherapy to cure the cancer of black money, Urban Development and I&B Minister M Venkaiah Naidu tells Nidhi Sharma and Ravish Tiwari.",Neutral
The minister blames the Congressled UPA government for the problem of black money and says the controversial note recall decision was not a sudden one.,Positive
"Edited excerpts:There are three yardsticks   outcome of elections, opinion polls and response to its leaders.",Neutral
"If you see the recent elections, BJP is expanding its base.",Negative
"Whether it is Arunachal Pradesh, Assam, Madhya Pradesh, West Bengal (the voteshare has gone up) or Tripura (pushing Congress to the third position), it is a clear indication BJP is becoming more and more popular under Modi s leadership.",Positive
"After demonetisation, local body elections in Maharashtra, Rajasthan, Gujarat and Panchayat elections in Gujarat took place.",Neutral
"Then in Chandigarh, the Congress fought only on demonetisation and the BJP won 20 of the 22 seats it contested.",Neutral
One seat it lost by 25 votes.,Neutral
All this speaks of the growing popularity of the Prime Minister and the growing appeal of the BJP.,Neutral
People believe that this is a big transformation required for the country despite the inconveniences they suffered.,Neutral
It is unparalleled in the history of any country; people have shown their loyalty towards a leader.,Neutral
They have understood our message   shortterm pain for longterm gain.,Neutral
Fear has made black money hoarders fall in line.,Negative
"The fear is that here is a tough Prime Minister, an honest man who will not compromise.",Positive
But law is being implemented now.,Neutral
There is always scope for improvement.,Neutral
Initially the banks worked very well.,Neutral
"But subsequently some of the acts indulged in by some crooks in the banking sector disturbed everybody, including us.",Neutral
"Wherever we could do anything, we did.",Neutral
The latest figures show that it could still be 7.,Positive
There is a recession in the international market.,Neutral
Still you are growing at 7.,Neutral
There will be some setbacks initially.,Neutral
There will be some temporary setback to growth also but it is required.,Neutral
If you are affected by a disease like cancer you need to undergo chemotherapy.,Neutral
"If you do chemotherapy, there are some side effects like hair fall.",Neutral
"The choice is yours, either you have hair fall or you fall.",Neutral
Of course we are worried.,Neutral
But this is only temporary.,Neutral
"When we are going for reform, there will be some pain  Congress vicepresident Rahul Gandhi said in L&T these many jobs were lost.",Positive
"I spoke to L&T chairman Subramaniam, he said it s wrong.",Negative
I spoke to Tiruppur Exporters Association president.,Neutral
He said 95% of the people are using these coupons and opening accounts.,Neutral
There is no major loss of employment.,Neutral
"There was some for some time but once the system corrects itself and the economy picks up, there would be more opportunities.",Positive
The agriculture sector is not affected negatively.,Negative
Manmohan Singh has held every economic position in this country.,Positive
"He has been RBI governor, finance minister and our prime minister.",Neutral
Wasn t it his responsibility to curb black money?,Negative
"I am sorry to say Manmohan Singh is a failed economist, a failed finance minister and a failed prime minister.",Negative
It is because of his government and his party s monumental mismanagement that we have the problem of black money.,Negative
He seems to have spoken out of vengeance.,Neutral
We are in this mess because of them.,Negative
"She is aiming for something big, something higher.",Positive
She is thinking that she can be the main alternative.,Positive
It is not a sudden move.,Neutral
This was always on the Prime Minister s agenda.,Neutral
"The first item on our first Cabinet meeting on May 27, 2014, was the formation of SIT under Justice M B Shah.",Positive
All our steps over the years have been towards checking black money.,Negative
We have signed international agreements.,Neutral
You cannot say that with this move alone the entire black money will go.,Neutral
It is not only in cash but also in kind.,Positive
"The ultimate aim is to move towards digital transfers
 




demonetisation: PM Modi slams Congress, says note ban should have been done by Indira Gandhi in 1971    Dec 16, 2016, 05.",Neutral
"08 PM     Rs 500 and Rs 1,000 notes +
 
 ripped into the opposition +
 
 washout +
 
 pitched for digital economy +
 
 unsparing in his criticism of demonetisation +
 
 anniversary of Bangladesh's liberation +
 
 NEW DELHI: Prime Minister Narendra Modi on Friday strongly defended demonetisation ofandover Parliament logjam, saying unlike earlier when opposition parties stalled the House against scams, Congressled parties are now doing so against government's steps to curb black money and corruption.",Neutral
"""We needed to do it in 1971.",Neutral
"We have caused huge losses by not doing this since 1971,"" Modi told BJP MPs, lashing out at the Congress for not taking effective measures to curb black money in the country.",Positive
The Prime Minister referred to former bureaucrat Madhav Godbole's book in which he has recorded how then Home Minister YB Chavan had recommended demonetisation to curb illgotten and hidden wealth.,Neutral
"""Godbole says in the book that Gandhi replied saying 'are no more elections to be fought by the Congress'?",Negative
"Chavan got the message and the recommendation was (dropped),"" Modi said.",Neutral
"""This was in 1971 when everybody recommended this.",Neutral
"Had it (demonetisation) been done in 1971, the nation wouldn't have been in this situation today.",Neutral
"""The recording of the Prime Minister's speech was broadcast hours after he addressed the BJP parliamentary party.",Neutral
"Modi's remarks at the BJP parliamentary party meeting came on the last day of the winter session, which has been adue to impasse over demonetisation.",Neutral
"Targeting Congress, the Prime Minister alleged that it has always put its interest over that of the country while for the BJP the nation's interests is supreme.",Neutral
"He againas he appealed to the masses to adopt it as a ""way of life"" to rid the society of corruption and black money.",Negative
"Attacking former Prime Minister Manmohan Singh, who has been, Modi said he advocated strong measures against corruption and black money but did ""nothing"" during his rule of 10 years.",Neutral
He also cited late Left stalwart Harkishan Singh Surjeet to support his government's action.,Neutral
"""Earlier the ruling side, especially Congress, would commit scams like 2G, coalgate, Bofors and the opposition would then unite and fight against it on the principle of honesty.",Neutral
"""But now the ruling side, the BJPled NDA, has started a campaign again black money and corruption and opposition parties are standing against it,"" he said.",Negative
"Modi also noted that the Wanchoo Committee in early 70s had recommended demonetisation when Indira Gandhi was Prime Minister, recalling that the then senior Left leader Jyotirmoy Basu had demanded its quick implementation, Parliamentary Affairs Minister Ananth Kumar told reporters following the meeting.",Positive
"""The Wanchoo committee had said it will boost economy.",Neutral
Now after 45 years we have done demonetisation but Congress is opposing it.,Neutral
"The Left has also joined hands with Congress,"" he said.",Neutral
"Painting Congress as a ""votary of corruption"", he said it had made a law against benami assets in 1988 but never notified it or framed rules and regulations, ensuring that the legislation never came into force.",Neutral
"""For us, the country's interests are always above the party's.",Neutral
"For Congress, party's interests are above the country's,"" the PM said.",Neutral
"On a day that marks the, Modi also targeted the opposition over its remarks on the Army's surgical strikes.",Neutral
"At Kanpur rally, PM Modi highlights government's bonanza for digital payments    Dec 19, 2016, 11.",Neutral
"31 PM     KANPUR: At an impressive rally in the city, Prime Minister Narendra Modi on Monday urged people to go cashless and elaborated in detail the government sops for going digital.",Positive
"15,000 lucky winners would be announced every day for 100 days as a ""gift beginning December 25"", the Prime Minster said.",Positive
"""The first draw would be held on December 25 as a Christmas gift,"" he said.",Positive
"The Prime Minister, without naming any party, also put the responsibility for logjam in Parliament solely on the Congressled Opposition and more than once tried to blame the party for spreading ""lies"" on demonetisation.",Positive
"Welcoming the recommendation by the Election Commission of India (ECI), to bring down accountable donation amount from more than Rs 20,000 to Rs 2,000, PM Modi said: ""Neither a comma or a full stop had been touched by the Congress in the law regarding accounts of political parties made 35 years back.",Positive
"""
Congress leaders, however, were trying to defame the BJP government, he added.",Neutral
"Citing the functioning of former Congress party and its treasurer Late Sitaram Kesari, whom he called ""permanent treasurer"" and quoted Congress leaders as saying ""Na khata na bahi, jo Sitaram Kesari kahein, wahi sahi"".",Negative
"During all party meeting before the Parliament session began, PM Modi said that he had proposed that discussion should be held on donation by the political parties and that both Parliament and assembly elections should be held together.",Neutral
"However, Parliament was not allowed to function as they didn't want to take part in discussion on the both the issues, the Prime Minister said.",Neutral
"""Our agenda is end to corruption and black money, but they have agenda to stall Parliament.",Negative
"For one month, Parliament has not been allowed to function despite President (Pranab Mukherjee) making a remark,"" the Prime Minister said.",Neutral
"They were afraid because they had to give account of their past deeds hence paper missiles were thrown at the Speaker, Modi said.",Negative
"""Even those who are elected in municipality think 50 times before indulging in such deeds,"" the Prime Minister said.",Neutral
"Trying to reply to oppostion's talk of NDA not allowing the Parliament to function when it was in opposition, the Prime Minister said that Parliament had seen logjam earlier also, but then the opposition was trying to corner government over issues of corruption and wanted scamsters to be booked.",Neutral
"But for the first time, some of them in a bid to help corrupt were raising slogans in Parliament, Modi said and added that the government was trying to take to task the corrupt, while Opposition was uniting to protect corrupts and dishonests.",Negative
"The country is divided into two parts, he said and added that on one hand, there are handful of leaders who want to protect corrupt, while on the other hand, the whole country is ready to bear any pain to tread the path of honesty.",Neutral
"It is black money and black heart that has committed atrocities on poor and middle income group, Modi said and added people cannot expect much from those who are in the habit of dishonesty and corruption.",Negative
"Hitting out at the present Akhilesh government without naming it, the Prime Minister said for the past some days whenever he has visited the state he has seen that storm of change and not the winds of change blowing in the state.",Negative
"People are fed up with ""goondagardi"", Modi said and added that those sitting in government are giving shelter to those involved in rowdism and land grabbing.",Neutral
"Until people change the government in the state, they would not get rid of goonda elements, Modi exhorted.",Neutral
"Earlier, giving details of government's scheme to promote cashless transaction, the Prime Minister, in what might be projected by the BJP as a reply to party's prepoll promise to give Rs 15 lakh from the black money in bank account of each citizen, said: ""a total of 15 lakh houses would get Rs 1,000 each until 100 days get over"".",Neutral
"However, only low income people would get the benefit of this scheme, he added.",Neutral
"Those who spend more than Rs 50 and less than Rs 3,000 through ewallet, debit, credit cards of other etransaction means, would only be eligible for the scheme, said the Prime Minister, laying thrust on bonanza primarly for poor and low income people.",Neutral
"Those who spend more than Rs 3,000 through etransaction don't need gift, Modi added amidst cheer from the crowd at the Railway ground in the Kanpur city.",Positive
"On December 30, there would be another draw when lakhs would be given in prize money, he said and added thereafter, on April 14 when Dr BR Ambedkar birth anniversary would celebrated, bumper draw would be held through which crores would be given as prize.",Positive
He said that similar schemes would be for small shopkeepers and businessmen who have yearly turnover of less than Rs 2 crore.,Negative
"Earlier, hitting out at Congressled Opposition, he said that while one hand they say that poor people in India don't have bank account and on the other hand they say that poor people are suffering by standing in long queues.",Negative
"Similarly, they had made huge claims that then Prime Minister Rajiv Gandhi had brought computers and mobile phones in the country and when he talks about mobile banking, they only say that poor people don't have mobile phone.",Neutral
"""Why lying so much,"" he said and added that people should understand what type of Opposition they are.",Positive
"NDA govt: Modi govt's 3rd anniversary: Zero tolerance on corruption    May 18, 2017, 09.",Neutral
"01 AM     This is a government that has zero tolerance on corruption, which doesn t hesitate to mount a surgical strike on Pakistan and also one that is propoor in its approach, with a focus on the  gaon, garib aur kisaan  (village, poor and the farmer)   this is expected to be the message in the Narendra Modi government s threeyear anniversary document, to be unveiled next week.",Negative
There is not a single taint of corruption on this government   totally different from the UPA tenure riddled with scams.,Neutral
"This will be the dominant message , a senior government official privy to the details said, speaking to ET on the condition of anonymity.",Neutral
"The document will detail the steps the government has taken to tackle corruption, officials with knowledge of the matter said.",Neutral
"The most prominent among these is demonetisation , which has  strengthened the hands of the common citizen and the government in the fight against corruption, terror funding, Naxalism, human trafficking, black money and counterfeit notes , one of them said.",Positive
"Direct benefit transfer   where the subsidy amount is transferred directly to the beneficiary s bank account   has plugged leakages in welfare programmes and helped the government save Rs  50,000 crore.",Neutral
"So, this would also be mentioned as a significant anticorruption measure.",Positive
"The government may also say that it started the cleaning up of political funding by putting a Rs  2,000 cap on cash donations to parties.",Neutral
The fight against black money will find a prominent mention.,Positive
"This will include blocking the Mauritius, Singapore and Cyprus channels used for rerouting of black money.",Negative
"Another is the agreement on realtime transaction data with Switzerland, which will make Swiss banks to share information related to transactions involving Indians from September 2019.",Neutral
This is expected to reduce the room for money laundering.,Neutral
"The Mauritius route accounted for 35% of black money laundered and a bilateral treaty signed with that country last May will reduce the scope for this, the government is likely to say.",Neutral
"The Third Protocol signed with Singapore, which will give India the right from April 1, 2017, to tax capital gains arising on Indian equity shares sold by a Singapore resident, may also be cited as a measure that will check the menace of black money and prevent double nontaxation.",Neutral
The government may highlight steps it has taken to investigate cases involving black money stashed abroad and initiate prosecution against those involved.,Negative
"The document is expected to highlight the benaami transaction law, implemented by the Modi government, as a key measure to block holding of black money in the form of real estate.",Neutral
The Insolvency and Bankruptcy Code will also be described as an anticorruption measure and one of the biggest economic reforms next to goods and services tax.,Neutral
"Another measure to find a mention is the allocation of 82 coal blocks through a transparent auction that has generated an income of Rs  5 lakh crore, as well as spectrum auctions.",Neutral
"Also featuring among the government s achievement could be  Project Insight , an IT project conceived by the income tax department to effectively utilise vast information at its disposal to track tax evaders more effectively.",Positive
"Bharat bandh: Day ahead of nationwide protests, PM Narendra Modi, opposition spar over demonetisation    Nov 27, 2016, 10.",Neutral
"47 PM     demonetisation +
 
 Prime Minister Narendra Modi +
 
 demonetising old highdenomination currency notes +
 
 Nitish Kumar has supported demonetisation +
 
 Jan Dhan +
 
 NEW DELHI/ KUSHI NAGAR/ PATNA: A day ahead of the nationwide protests planned by the opposition againstdefended the move and warned unscrupulous people using the Jan Dhan accounts of the poor to launder their black money of strict action.",Neutral
"Lead opposition party Congress continued to target Modi over, terming it a ""political move made without preparation"" that stemmed from his propensity for ""dhamaka politics"" (politics aimed at seeking publicity).",Neutral
"The JD(U) will, however, not be a part of the proposed protests as its leader and Bihar Chief Ministerof old Rs 500 and Rs 1000 notes.",Neutral
"Withaccounts witnessing a surge in deposits, Modi issued a warning to those using poor people to park their illegal money, saying the strict 'benami' law would be implemented against such transactions.",Negative
He appealed to the people to shift to cashless system of transactions like mobile banking and asked the youth to help in this process by educating the elders and those not literate.,Neutral
"In his monthly radio programme 'Mann ki Baat', first after the demonetisation decision, Modi devoted substantial part of the 37minute broadcast to the issue over which he is under opposition attack.",Positive
"The Prime Minister said, ""Even now, some people think they can bring their black money, the money earned through corruption or the one which is unaccounted for, back into the system through illegal means.",Negative
"""Unfortunately, they are misusing the poor for this purpose by misleading, luring or tempting them by putting money into their accounts.",Negative
"""He said ""a very stringent law to deal with 'benami' transactions is being implemented, that will make such things (transactions) very difficult.",Negative
Government does not want the people to face such difficulties.,Neutral
"""""I would tell such (unscrupulous) people that to reform or not reform is your wish.",Neutral
Following the law or not is your wish  that the law will take care of.,Neutral
But please don't play with the life of the poor.,Negative
"Don't do anything due to which, when there is an investigation, the name of the poor comes on record and he gets into trouble because of you.",Negative
"""Later, addressing BJP's 'Parivartan Yatra' in UP's Kushinagar, Modi repeatedly attacked his rivals for calling a 'Bharat Bandh' on Monday.",Neutral
"""We are trying to check black money and they are busy calling a Bharat Bandh.",Neutral
"Tell me, what should be stopped?",Neutral
Should black money be stopped or a Bharat Bandh be called?,Negative
"""Speaking to reporters in Delhi, senior Congress leader Jairam Ramesh , however, said no 'Bharat Bandh' has been called and that opposition parties will only hold protests across the country against demonetisation.",Neutral
"Calling demonetisation a political move, Ramesh said it had brought all economic activity to a standstill.",Neutral
"""It is a political decision for three reasons.",Neutral
